,Name,Combined Score
1967,"Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, And Hirschsprung Disease",2.3
1968,Mismatch Repair Cancer Syndrome,2.2
1969,Delta Beta-Thalassemia,1.16
1970,Coronavirus Infectious Disease,1.87
1971,Endometriosis,4.0
1972,Sick Sinus Syndrome,1.11
1973,Alzheimer'S Disease 1,1.11
1974,"Corneal Dystrophy, Avellino Type",1.24
1975,Buschke-Ollendorff Syndrome,6.02
1976,Intraneural Perineurioma,1.36
1977,Thymoma,3.07
1978,Cervical Keratinizing Squamous Cell Carcinoma,3.64
1979,Type 1 Diabetes Mellitus 17,1.47
1980,Nephronophthisis 12,1.22
1981,Childhood Osteosarcoma,1.19
1982,Osteopetrosis,0.99
1983,Inverted Papilloma,1.22
1984,Mature T-Cell And Nk-Cell Lymphoma,1.01
1985,Ocular Motility Disease,1.02
1986,Seckel Syndrome 8,1.36
1987,Stiff Skin Syndrome,3.63
1988,"Fanconi Anemia, Complementation Group J",2.52
1989,Esophageal Atresia,2.11
1990,Choline Deficiency Disease,1.15
1991,Brachial Plexus Neuropathy,1.21
1992,Adrenal Cortex Disease,3.0
1993,Hepatitis B,4.18
1994,Macroglobulinemia,1.13
1995,Megacolon,1.93
1996,Focal Segmental Glomerulosclerosis,5.33
1997,"Scleroderma, Familial Progressive",2.72
1998,Scalp-Ear-Nipple Syndrome,2.58
1999,Bardet-Biedl Syndrome 5,1.26
2000,Basal Cell Carcinoma,3.57
2001,Sting-Associated Vasculopathy With Onset In Infancy,1.14
2002,Intellectual Developmental Disorder With Short Stature And Variable Skeletal Anomalies,5.66
2003,Glaucoma-Ectopia Lentis-Microspherophakia-Stiff Joints-Short Stature Syndrome,1.83
2004,Mucocutaneous Leishmaniasis,1.19
2005,Hepatic Vascular Disease,1.04
2006,"Sarcoma, Synovial",2.87
2007,Non Specific Chronic Endometritis,1.5
2008,"Schwannomatosis, Vestibular",1.13
2009,Meningothelial Meningioma,1.24
2010,Mucolipidosis,1.02
2011,Primary Congenital Glaucoma,1.07
2012,"Xeroderma Pigmentosum, Complementation Group A",2.28
2013,Juvenile Polyposis/Hereditary Hemorrhagic Telangiectasia Syndrome,1.34
2014,Progressive Myoclonus Epilepsy 3,1.29
2015,Perineurioma,1.29
2016,Agammaglobulinemia 7,1.5
2017,Inherited Cancer-Predisposing Syndrome,6.2
2018,Rectum Cancer,0.96
2019,Niemann-Pick Disease,0.94
2020,Fungal Infectious Disease,1.01
2021,Pelger-Huet Anomaly,4.42
2022,Gastritis,2.1
2023,Tracheal Cancer,1.36
2024,Colon Adenocarcinoma,7.42
2025,Pectus Carinatum,2.45
2026,Psychotic Disorder,0.87
2027,Bone Lymphoma,1.36
2028,Chlamydia,3.3600000000000003
2029,Intracranial Meningioma,2.42
2030,Mitral Valve Disease,2.12
2031,Neural Tube Defects,3.0
2032,Aminoaciduria,1.22
2033,Brugada Syndrome 1,2.24
2034,Melanoma,4.51
2035,Amyotrophic Lateral Sclerosis,10.6
2036,Infant-Type Hemispheric Glioma,5.66
2037,Progressive Peripheral Pterygium,1.5
2038,Pityriasis Rubra Pilaris,1.19
2039,B-Cell Lymphoma,4.79
2040,Tonsil Cancer,1.05
2041,Juvenile Polyposis Syndrome,1.11
2042,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 13",1.39
2043,Lacrimal System Cancer,1.29
2044,Limited Scleroderma,1.99
2045,Wolfram Syndrome 1,1.15
2046,Tauopathy,0.9
2047,Pulmonary Venoocclusive Disease,1.12
2048,Band Heterotopia,1.03
2049,Spastic Quadriplegic Cerebral Palsy,2.04
